word,pos,neg,rat
AS,7295.428046862888,11676.489686388806,1.600521533676125
x,8634.46085411705,9421.81828954253,1.0911877937404808
ㅋㅋ,53947.1850110388,54632.98697763373,1.0127124699176537
ㅎㅎ,67219.03641146347,24336.835417757797,2.762028639204912
ㅜㅜ,24611.347837172725,35534.765004962035,1.4438366090332808
ㅜㅠ,2568.1359345744295,3747.9810739575437,1.4594169348666617
ㅠㅠ,59930.00048750939,83271.92535151212,1.389486478794
ㅡㅡ,9953.615211583072,33886.568231489386,3.4044482844841557
가능,45692.372541354925,35126.73072795537,1.3007863696518436
가볍,32108.872984876627,13479.133465515473,2.3821170008459966
가성비,123880.03531715479,45950.61109669385,2.695938799518337
가짜,1296.681516346026,3546.389135800562,2.7349731534649178
가품,621.7554335317142,2395.9978335435935,3.853601760958925
간단,17885.074738122206,7655.814780834561,2.3361425596261034
간편,12815.309642523516,3187.317648155897,4.020719318621455
간혹,2212.9108018860147,2103.191429420038,1.0521680389769525
감동,2106.108225961959,513.1773608300311,4.10405521895094
감사,35383.4625452756,7233.839863272678,4.891380402947942
갑,35035.63810058776,41918.81918908817,1.196462272750355
갑자기,11766.674181477982,26035.23022087877,2.2126243847102556
갓템,34.358349060798595,0.0,
강추,17584.602508406966,2597.382466499455,6.770124436893613
개,157017.74792390043,204397.46917602932,1.3017475532453295
개고생,138.6989459725953,668.4157458934957,4.819184033493404
개꿀,979.9642726072368,87.45366716554148,11.205525215452173
개빡침,66.91236577762383,364.2892130682642,5.444273399014778
개화남,53.705239492585505,159.15660733965927,2.963521042702589
거슬,18607.75432192904,21106.215815642638,1.134269909763866
걱정,31620.73586106462,11836.882972150603,2.671373530976082
겨우,3717.6490930775462,7927.040557812978,2.1322724010110408
견고,9959.072796862305,3609.9162740457245,2.7588099115941325
결국,10785.03220453108,22674.037480085033,2.102361592444672
결점,5642.999924155005,6572.606177978743,1.1647361804568763
고급,13822.345724604065,4481.4175027773945,3.0843691122368213
고민,37274.6719810044,16650.771308935116,2.2386153343540376
고생,5240.891161120871,7094.719871443004,1.3537239475749108
고장,51921.55875047878,95328.85450683866,1.8360168069098965
고품격,11.452783020266198,0.0,
고품질,822.8592322666793,879.6181311039315,1.068977653299097
과부,2481.647702223916,1603.8980784277937,1.5472602253233747
괜찮,133876.9269457074,89427.81192539884,1.497039053772089
괜춘,3077.8974241135443,1971.678127011017,1.5610547086503972
괜히,4634.394957492106,9170.720045355512,1.9788386897257952
교환,30927.132850023212,86860.8740200605,2.8085653604322167
구형,3097.118552871537,1820.325576161632,1.7014091289109783
굳,18611.150485246384,8002.235390198358,2.3257439425041775
굿,43206.96176857111,8953.310740845403,4.825808353937614
귀여,9845.249276333077,3707.443185588081,2.655536115726452
귀엽,9695.331671981574,3580.670558217251,2.7076860365530804
귀찮,17741.432710614416,35866.76964880829,2.021638851486316
그나마,4287.677262166009,6805.720103914772,1.5872743417438842
그냥,117350.17039887527,204139.92134275642,1.7395792494282818
그래도,56217.380251111455,42573.54286591352,1.3204769081156706
그럭저럭,8613.549182872324,8895.617618634005,1.0327470627697306
그런데,20165.52820957291,20530.31983049665,1.018089861923407
근데,54010.990542058054,46529.54716178112,1.1607890864328487
금지,625.3584186259795,1975.8093291509492,3.159483058518895
급하게,18106.344768403964,15230.680497515861,1.1888073399843906
급해,5364.826689898462,13484.812828999906,2.5135598237293904
급히,2858.362622055136,2588.6753325946556,1.1041796497477998
기대,27059.129089400856,23463.970235069053,1.1532203978403668
기대이상,2103.4517165252005,341.50093799023807,6.159431739497385
까맣게,240.21060876866377,912.9745152761383,3.800725205086107
깔끔,68711.02007820428,20514.69015764166,3.3493569510534202
깜짝,3123.5534322273943,2553.6652784341895,1.2231647814637001
깨끗,10118.57811625273,4877.2964349473,2.0746284855171124
껍데기,338.3147812199885,823.0241242625026,2.432717013707222
끊,30318.49117462201,56852.411765000514,1.8751728586212968
나름,13007.997516839472,8057.08307970059,1.6144797550384529
나쁘,30018.771743773814,23119.260896380893,1.2984312897508319
나쁘지,25096.575718908043,16753.636462686434,1.497977813640814
나이스,497.19304249128317,60.74716981132075,8.184628914162632
낚였,77.21932945276492,623.3694037152961,8.07271195091912
낚이,53.705239492585505,278.10734625591544,5.178402496358119
낚인,64.01220316772658,180.33532015417896,2.8172022087985202
난리,2078.721730677676,5499.705457157636,2.645715093075348
냄새,29384.16527667949,39930.63272574937,1.3589166937282373
냄새 너무,206.99807905299022,1367.5987581266436,6.606818596497926
너무,226344.48563398758,202181.19774605468,1.1195130316632247
너무나,4239.806768921779,3304.491597805209,1.2830435918607845
놀랐,7338.384535616628,4352.769647155138,1.685911530010051
느낌,77698.2923679914,62621.31137171123,1.2407643766318681
느려,9639.855433926337,13451.048503129328,1.3953579071103022
느리,10084.57295174323,13286.753132250697,1.3175325515349596
느린,5634.722501562613,5182.95333241727,1.0871644292684848
다만,58031.4569088324,37765.73134300627,1.5366167910734523
다시,47311.79174200286,92575.97257342463,1.956720918080064
다행,12982.918309699227,11730.891321798637,1.1067290586499632
닥구매,5.726391510133099,0.0,
단단,5523.690151587857,2065.2939676428505,2.674529746432235
단점,34057.34377923123,21457.333813282097,1.5872122825506738
답변,3176.2935957885456,9870.828078200811,3.107656071620257
당일,2028.9987548952067,1600.474720868965,1.2677480802655714
당황,9211.278130747174,9904.237401863636,1.0752294373571643
대단,1639.6810402940096,1706.4107795677216,1.040696780430996
대박,6174.998145047219,1395.289193282046,4.425604508927774
대체,7813.728713268055,11163.738623586694,1.4287338392783173
